,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_hidden_layer_sizes,param_learning_rate,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
23,58.84151101112366,0.23617307345072427,0.8919829474565457,0.8915318365437791,relu,"(12, 16, 20, 24)",adaptive,adam,"{'activation': 'relu', 'hidden_layer_sizes': (12, 16, 20, 24), 'learning_rate': 'adaptive', 'solver': 'adam'}",11,0.88425056692107,0.8841021451954084,0.9033540190926714,0.9029821631045708,0.8883443062667642,0.8875112013313582,9.397764563231764,0.05744450787207547,0.008212414507821923,0.008215347413878998
22,106.83443117141724,0.21572081247965494,0.8913001954783938,0.8924908887603599,relu,"(12, 16, 20, 24)",adaptive,sgd,"{'activation': 'relu', 'hidden_layer_sizes': (12, 16, 20, 24), 'learning_rate': 'adaptive', 'solver': 'sgd'}",12,0.8887371680768574,0.8897531714632317,0.8682776362151157,0.8690884041891711,0.9168861253352841,0.9186310906286766,9.953326434095603,0.013356010225934509,0.019926860012356894,0.02031814897917684
14,213.37145773569742,0.49661771456400555,0.8864315236341912,0.8868703810648598,tanh,"(24, 20, 16, 12)",adaptive,sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (24, 20, 16, 12), 'learning_rate': 'adaptive', 'solver': 'sgd'}",13,0.8825315159347492,0.880633500161545,0.8716913961058753,0.8724960680801258,0.9050719336747135,0.9074815749529087,24.97299459855206,0.08285178083676707,0.01390374356345337,0.014948142255544335
7,101.08292365074158,0.35159826278686523,0.8851676196746362,0.8869944010782858,tanh,"(12, 16, 20, 24)",adaptive,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (12, 16, 20, 24), 'learning_rate': 'adaptive', 'solver': 'adam'}",14,0.893479798102948,0.8967392298266896,0.8721059240926105,0.8741297960278466,0.8899170933918557,0.8901141773803211,28.488691886939385,0.0655534781459241,0.009349835464586918,0.009490218729728082
5,90.20668896039327,0.5363365014394125,0.8842207077049373,0.8853768872743314,tanh,"(12, 16, 20, 24)",constant,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (12, 16, 20, 24), 'learning_rate': 'constant', 'solver': 'adam'}",15,0.8933944551461803,0.8945202723709317,0.8517818607429805,0.8531168847002597,0.907485979029505,0.9084935047518029,19.31510592223973,0.050956360588160374,0.023648140948739065,0.023513735423531964
21,70.58075745900472,0.27063846588134766,0.8818920357794549,0.8836375528551458,relu,"(12, 16, 20, 24)",constant,adam,"{'activation': 'relu', 'hidden_layer_sizes': (12, 16, 20, 24), 'learning_rate': 'constant', 'solver': 'adam'}",16,0.8899807368754724,0.8923317951000055,0.8803233318296534,0.8805854598212652,0.8753718605218239,0.8779954036441665,20.152538771806437,0.025125205232246914,0.006066324594717332,0.006238027674907065
24,75.5752698580424,0.21239336331685385,0.8684686442090034,0.8685072927598187,relu,"(24, 20, 16)",constant,sgd,"{'activation': 'relu', 'hidden_layer_sizes': (24, 20, 16), 'learning_rate': 'constant', 'solver': 'sgd'}",17,0.8815074004535368,0.8799934162800763,0.8642908523426928,0.8654917643042636,0.85960741282614,0.8600366976951165,14.09288873269772,0.019304024696037255,0.009416043867105033,0.008421706599398086
3,62.254810174306236,0.3048091729482015,0.8536350446836786,0.8535131227146175,tanh,"(10, 10, 10)",adaptive,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'adaptive', 'solver': 'adam'}",18,0.8606715271512521,0.8615407123828799,0.8380049011838432,0.836486997232416,0.8622287247012924,0.8625116585285565,13.106804146779405,0.08668049973027356,0.011070448814191702,0.012045812434374659
1,71.9506398042043,0.24714191754659018,0.846482404912563,0.8479007527919452,tanh,"(10, 10, 10)",constant,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'constant', 'solver': 'adam'}",19,0.8394455146180293,0.842252851421291,0.8638397483571281,0.8650650443179185,0.8361619117288466,0.8363843626366257,9.633233872960503,0.06583222339213651,0.012346485075315978,0.012371188782688806
20,97.93629519144694,0.19371573130289713,0.8459378289299895,0.845734677762198,relu,"(12, 16, 20, 24)",constant,sgd,"{'activation': 'relu', 'hidden_layer_sizes': (12, 16, 20, 24), 'learning_rate': 'constant', 'solver': 'sgd'}",20,0.8446758186827924,0.8453679263111051,0.8720083880957316,0.8704965801441095,0.821128992928554,0.8213395268313796,15.568807904246508,0.007353952378951029,0.02079052335665389,0.020069958521262598
