samples,features,estimators,accuracy,precision,f1-score,time
0.25,4,75,0.9994191217847483,0.9994191302556402,0.9994191196321287,1.7270047664642334
0.25,4,99,0.9992285211203689,0.9992285216913991,0.9992285200122447,2.262995481491089
0.25,5,3,0.9978035542485796,0.9978036299619587,0.9978035740235817,0.08800625801086426
0.25,5,5,0.9987747100147035,0.9987747986701196,0.9987746825354855,0.13099884986877441
0.25,5,7,0.9989653106790829,0.9989653432307001,0.9989653037316726,0.17599964141845703
0.25,5,11,0.999146835121349,0.9991468366614719,0.9991468333683089,0.26599979400634766
0.25,5,21,0.9991649875655757,0.9991650091913489,0.9991649903061753,0.4940049648284912
0.25,5,31,0.999292054675162,0.9992920816346865,0.9992920458854077,0.7339949607849121
0.25,5,51,0.9993192833415019,0.9993192904459725,0.999319282714116,1.1919994354248047
0.25,5,75,0.999382816896295,0.9993828326777252,0.9993828147634232,1.7190003395080566
0.25,5,99,0.9993465120078419,0.9993465160208548,0.9993465114940541,2.3169960975646973
0.25,6,3,0.9982482891321316,0.9982483290825495,0.9982482583192931,0.08799910545349121
0.25,6,5,0.9986294904608906,0.9986295887198972,0.9986294619491588,0.13099980354309082
0.25,6,7,0.99882009112527,0.9988201675237982,0.9988200663322626,0.17799878120422363
0.25,6,11,0.9989471582348564,0.9989472327127934,0.998947168834096,0.27098965644836426
0.25,6,21,0.9992466735645955,0.9992466783714963,0.9992466703934566,0.49300479888916016
0.25,6,31,0.999264826008822,0.9992648415303736,0.9992648264061773,0.7249994277954102
0.25,6,51,0.9992375973424822,0.9992375961470966,0.9992375962420738,1.1530003547668457
0.25,6,75,0.9993918931184084,0.9993919282285176,0.9993918895816641,1.6909937858581543
0.25,6,99,0.9993465120078419,0.9993465313011193,0.9993465119730501,2.2909958362579346
0.25,7,3,0.9979578500245058,0.9979579861139382,0.9979578363448728,0.08500552177429199
0.25,7,5,0.9987202526820236,0.9987202558162536,0.9987202415001667,0.12999963760375977
0.25,7,7,0.9987747100147035,0.9987749492628705,0.998774745960443,0.17400002479553223
0.25,7,11,0.9990379204559894,0.9990379259319785,0.9990379181574172,0.27599024772644043
0.25,7,21,0.9991649875655757,0.9991650512777143,0.9991649856194609,0.4819936752319336
0.25,7,31,0.9992557497867088,0.9992557529335506,0.9992557485551202,0.7300000190734863
0.25,7,51,0.9993555882299552,0.9993555945804011,0.9993555873800428,1.1500070095062256
0.25,7,75,0.9993374357857285,0.9993374361221704,0.9993374355332375,1.4819998741149902
0.25,7,99,0.9993283595636152,0.999328363583082,0.9993283599765347,2.230003595352173
0.25,8,3,0.9978943164697126,0.9978945297768322,0.9978943613234275,0.08700060844421387
0.25,8,5,0.9986839477935704,0.9986840977728666,0.9986839265962244,0.1300036907196045
0.25,8,7,0.9989743869011962,0.9989743894084963,0.9989743844888861,0.1750032901763916
0.25,8,11,0.9991377588992357,0.9991377997693237,0.9991377552119999,0.26499342918395996
0.25,8,21,0.9991196064550092,0.9991196365993074,0.9991196141653457,0.48400020599365234
0.25,8,31,0.9993011308972753,0.9993011415495792,0.9993011341761028,0.7049996852874756
0.25,8,51,0.9993283595636152,0.9993283610961518,0.9993283595779261,1.1690003871917725
0.25,8,75,0.9993737406741818,0.9993737424848251,0.9993737409069489,1.7089991569519043
0.25,8,99,0.9993465120078419,0.9993465225475168,0.9993465117989175,2.3070054054260254
0.4,1,3,0.9983390513532647,0.9983391003636444,0.998339034884525,0.10399603843688965
0.4,1,5,0.9990197680117627,0.9990198057739332,0.9990197520260886,0.16100144386291504
0.4,1,7,0.9990651491223294,0.9990651496905828,0.9990651471478614,0.23800230026245117
0.4,1,11,0.9992285211203689,0.9992285660915328,0.9992285112948927,0.3390073776245117
0.4,1,21,0.9993918931184084,0.9993918975418051,0.999391893133603,0.6279997825622559
0.4,1,31,0.9993374357857285,0.9993374651091631,0.9993374314263408,0.9510049819946289
0.4,1,51,0.9993646644520685,0.999364679395865,0.9993646619360986,1.4899990558624268
0.4,1,75,0.9994191217847483,0.9994191374216564,0.9994191205458813,2.3299999237060547
0.4,1,99,0.9994463504510882,0.9994463575649697,0.9994463487180604,3.0359983444213867
0.4,2,3,0.9983753562417179,0.9983754970629974,0.9983753483627305,0.09499335289001465
0.4,2,5,0.998938082012743,0.9989381939632821,0.998938062921625,0.14308691024780273
0.4,2,7,0.999146835121349,0.999146925424535,0.9991468391827473,0.19800972938537598
0.4,2,11,0.9991922162319157,0.9991922275012678,0.999192216292044,0.31699252128601074
0.4,2,21,0.9993374357857285,0.9993374386972231,0.9993374363445058,0.5590059757232666
0.4,2,31,0.9993011308972753,0.9993011698144894,0.9993011284403159,0.8050007820129395
0.4,2,51,0.9993374357857285,0.999337460256149,0.9993374331041611,1.414264440536499
0.4,2,75,0.999500807783768,0.9995008291349032,0.9995008080626231,2.1420092582702637
0.4,2,99,0.9994191217847483,0.9994191413410202,0.9994191190502921,2.8489863872528076
0.4,3,3,0.9984842709070776,0.9984844352908845,0.9984842864450333,0.08998942375183105
0.4,3,5,0.9991377588992357,0.9991379002089255,0.9991377398376341,0.13399839401245117
0.4,3,7,0.9991286826771225,0.9991288079172338,0.9991287022750855,0.19599175453186035
0.4,3,11,0.9993011308972753,0.9993011566764466,0.999301134451832,0.29799985885620117
0.4,3,21,0.9993918931184084,0.9993919276307219,0.9993918915743931,0.5480051040649414
